day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
1;100;STARFRUIT;5053;1;5050;2;5047;45;5054;45;;;;;5053.5;0.0
1;100;AMETHYSTS;10002;1;10000;2;9998;13;10004;1;10005;44;;;10003.0;0.0
1;200;AMETHYSTS;9996;1;9995;21;;;10004;1;10005;21;;;10000.0;2.0
1;200;STARFRUIT;5048;1;5047;21;;;5054;22;;;;;5051.0;0.0
1;300;AMETHYSTS;9995;26;;;;;10005;26;;;;;10000.0;2.0
1;300;STARFRUIT;5053;1;5047;26;;;5054;26;;;;;5053.5;0.0
1;500;STARFRUIT;5048;24;5047;28;;;5053;4;5054;27;5055;24;5050.5;3.0439453125
1;500;AMETHYSTS;9998;16;9996;3;9995;49;10004;3;10005;49;;;10001.0;6.0
1;600;AMETHYSTS;9996;2;9995;28;;;10004;2;10005;28;;;10000.0;6.0
1;600;STARFRUIT;5052;5;5048;30;;;5055;30;;;;;5053.5;-48.9296875
1;700;AMETHYSTS;9996;1;9995;22;;;10004;1;10005;22;;;10000.0;6.0
1;700;STARFRUIT;5048;22;;;;;5055;23;;;;;5051.5;-52.46875
1;800;AMETHYSTS;9996;1;9995;24;;;10000;3;10004;1;10005;24;9998.0;6.0
1;800;STARFRUIT;5048;25;;;;;5051;3;5055;25;;;5049.5;-46.3203125
1;900;STARFRUIT;5048;21;;;;;5055;21;;;;;5051.5;-51.5078125
1;900;AMETHYSTS;9996;1;9995;20;;;9998;11;10004;1;10005;20;9997.0;6.0
1;1000;STARFRUIT;5049;1;5048;30;;;5055;31;;;;;5052.0;-38.625
1;1000;AMETHYSTS;9996;1;9995;30;;;10004;1;10005;30;;;10000.0;28.0
1;1100;AMETHYSTS;9996;1;9995;21;;;10002;6;10004;1;10005;21;9999.0;28.0
1;1100;STARFRUIT;5049;22;;;;;5055;1;5056;21;;;5052.0;-33.71875
1;1200;STARFRUIT;5049;22;;;;;5056;23;;;;;5052.5;-20.46875
1;1200;AMETHYSTS;9996;1;9995;22;;;10004;1;10005;22;;;10000.0;28.0
1;1300;STARFRUIT;5050;25;;;;;5057;25;;;;;5053.5;-14.5703125
1;1300;AMETHYSTS;10002;1;9995;25;;;10005;25;;;;;10003.5;28.0
1;1400;STARFRUIT;5049;23;;;;;5052;6;5056;23;;;5050.5;-19.0859375
1;1400;AMETHYSTS;9995;23;;;;;10000;6;10005;23;;;9997.5;30.0
1;1500;AMETHYSTS;9996;1;9995;20;;;9998;4;10004;1;10005;20;9997.0;30.0
1;1500;STARFRUIT;5054;1;5049;21;;;5056;21;;;;;5055.0;-28.5390625
1;1600;STARFRUIT;5049;30;;;;;5056;30;;;;;5052.5;-29.5
1;1600;AMETHYSTS;9996;2;9995;28;;;10004;2;10005;28;;;10000.0;38.0
1;1700;STARFRUIT;5049;28;;;;;5054;8;5056;28;;;5051.5;-31.8515625
1;1700;AMETHYSTS;9995;28;;;;;10005;28;;;;;10000.0;38.0
1;1800;STARFRUIT;5051;4;5048;23;;;5055;23;;;;;5053.0;-48.796875
1;1800;AMETHYSTS;10000;4;9995;23;;;10002;10;10005;23;;;10001.0;38.0
1;1900;AMETHYSTS;9996;2;9995;30;;;10004;2;10005;30;;;10000.0;38.0
1;1900;STARFRUIT;5047;32;;;;;5048;1;5054;32;;;5047.5;-60.15625
1;2000;STARFRUIT;5049;2;5048;21;;;5055;23;;;;;5052.0;-35.3125
1;2000;AMETHYSTS;9996;2;9995;21;;;10004;2;10005;21;;;10000.0;38.0
1;2100;STARFRUIT;5048;28;;;;;5053;5;5055;28;;;5050.5;-41.609375
1;2100;AMETHYSTS;9996;2;9995;26;;;10004;2;10005;26;;;10000.0;38.0
1;2200;STARFRUIT;5050;4;5049;21;;;5055;1;5056;20;;;5052.5;-28.4140625
1;2200;AMETHYSTS;9996;1;9995;20;;;9998;4;10004;1;10005;20;9997.0;38.0
1;2300;AMETHYSTS;9996;2;9995;22;;;10004;2;10005;22;;;10000.0;46.0
1;2300;STARFRUIT;5050;5;5049;24;;;5056;24;;;;;5053.0;-22.4296875
1;2400;STARFRUIT;5049;22;;;;;5055;2;5056;20;;;5052.0;-28.8359375
1;2400;AMETHYSTS;9996;2;9995;20;;;10004;2;10005;20;;;10000.0;46.0
1;2500;STARFRUIT;5049;2;5048;21;;;5055;23;;;;;5052.0;-32.7421875
1;2500;AMETHYSTS;9998;3;9996;2;9995;21;10004;2;10005;21;;;10001.0;46.0
1;2600;STARFRUIT;5048;30;;;;;5055;30;;;;;5051.5;-43.078125
1;2600;AMETHYSTS;10002;1;9996;1;9995;29;10004;1;10005;29;;;10003.0;46.0
1;2700;AMETHYSTS;9998;7;9996;2;9995;21;10004;2;10005;21;;;10001.0;48.0
1;2700;STARFRUIT;5049;7;5048;23;;;5055;23;;;;;5052.0;-37.5078125
1;2800;STARFRUIT;5049;27;;;;;5056;27;;;;;5052.5;-27.203125
1;2800;AMETHYSTS;9995;27;;;;;10005;27;;;;;10000.0;48.0
1;2900;STARFRUIT;5049;22;;;;;5056;22;;;;;5052.5;-25.9765625
1;2900;AMETHYSTS;9996;2;9995;20;;;10004;2;10005;20;;;10000.0;48.0
1;3000;STARFRUIT;5054;1;5050;5;5049;30;5056;30;;;;;5055.0;-27.5546875
1;3000;AMETHYSTS;9996;1;9995;29;;;10004;1;10005;29;;;10000.0;48.0
1;3100;AMETHYSTS;9998;5;9996;1;9995;27;10004;1;10005;27;;;10001.0;48.0
1;3100;STARFRUIT;5048;28;;;;;5055;28;;;;;5051.5;-37.375
1;3200;STARFRUIT;5049;24;;;;;5052;5;5056;24;;;5050.5;-25.4296875
1;3200;AMETHYSTS;10002;2;9995;24;;;10005;24;;;;;10003.5;48.0
1;3300;STARFRUIT;5050;1;5049;24;;;5056;25;;;;;5053.0;-11.359375
1;3300;AMETHYSTS;10002;1;9996;1;9995;24;10004;1;10005;24;;;10003.0;52.0
1;3400;STARFRUIT;5050;29;;;;;5056;2;5057;27;;;5053.0;-7.171875
1;3400;AMETHYSTS;9998;10;9996;2;9995;27;10004;2;10005;27;;;10001.0;54.0
1;3500;AMETHYSTS;9995;26;;;;;10002;10;10005;26;;;9998.5;54.0
1;3500;STARFRUIT;5049;26;;;;;5057;26;;;;;5053.0;-10.453125
1;3600;STARFRUIT;5050;27;;;;;5057;27;;;;;5053.5;-5.796875
1;3600;AMETHYSTS;9995;27;;;;;10002;8;10005;27;;;9998.5;54.0
1;3700;STARFRUIT;5050;25;;;;;5057;25;;;;;5053.5;3.140625
1;3700;AMETHYSTS;9998;3;9995;25;;;10005;25;;;;;10001.5;54.0
1;3800;STARFRUIT;5051;24;;;;;5056;7;5058;24;;;5053.5;18.1328125
1;3800;AMETHYSTS;9995;24;;;;;10005;24;;;;;10000.0;54.0
1;3900;AMETHYSTS;9996;2;9995;24;;;10004;2;10005;24;;;10000.0;54.0
1;3900;STARFRUIT;5051;1;5050;26;;;5057;26;;;;;5054.0;3.2890625
1;4000;STARFRUIT;5051;30;;;;;5058;31;;;;;5054.5;15.2421875
1;4000;AMETHYSTS;10002;1;9996;1;9995;30;10004;1;10005;30;;;10003.0;54.0
1;4100;STARFRUIT;5054;5;5052;2;5051;22;5058;24;;;;;5056.0;27.015625
1;4100;AMETHYSTS;10000;5;9996;2;9995;22;10002;4;10004;2;10005;22;10001.0;56.0
1;4200;STARFRUIT;5051;29;;;;;5056;7;5058;29;;;5053.5;17.8203125
1;4200;AMETHYSTS;10002;5;9996;1;9995;28;10004;1;10005;28;;;10003.0;56.0
1;4300;AMETHYSTS;9995;26;;;;;10002;8;10005;26;;;9998.5;66.0
1;4300;STARFRUIT;5052;26;;;;;5054;2;5059;26;;;5053.0;46.9140625
1;4400;STARFRUIT;5052;28;;;;;5059;28;;;;;5055.5;47.8984375
1;4400;AMETHYSTS;9995;28;;;;;10005;28;;;;;10000.0;66.0
1;4500;STARFRUIT;5053;26;;;;;5058;8;5060;26;;;5055.5;57.4609375
1;4500;AMETHYSTS;9995;26;;;;;10005;26;;;;;10000.0;66.0
1;4600;STARFRUIT;5053;21;;;;;5058;3;5060;21;;;5055.5;58.75
1;4600;AMETHYSTS;9995;21;;;;;10005;21;;;;;10000.0;66.0
1;4700;AMETHYSTS;9998;5;9995;26;;;10005;26;;;;;10001.5;66.0
1;4700;STARFRUIT;5053;26;;;;;5060;26;;;;;5056.5;64.359375
1;4800;STARFRUIT;5059;1;5054;7;5053;23;5060;23;;;;;5059.5;61.140625
1;4800;AMETHYSTS;9996;1;9995;22;;;10004;1;10005;22;;;10000.0;66.0
1;4900;STARFRUIT;5054;2;5053;22;;;5058;6;5060;24;;;5056.0;69.984375
1;4900;AMETHYSTS;9996;2;9995;22;;;10004;2;10005;22;;;10000.0;66.0
1;5000;STARFRUIT;5054;5;5053;31;;;5060;31;;;;;5057.0;65.5546875
1;5000;AMETHYSTS;9998;9;9996;1;9995;30;10004;1;10005;30;;;10001.0;66.0
1;5100;AMETHYSTS;9995;26;;;;;10005;26;;;;;10000.0;66.0
1;5100;STARFRUIT;5053;26;;;;;5060;26;;;;;5056.5;64.7421875
1;5200;STARFRUIT;5056;5;5054;6;5053;25;5060;25;;;;;5058.0;58.453125
1;5200;AMETHYSTS;10000;5;9998;7;9996;2;10004;2;10005;23;;;10002.0;66.0
1;5300;STARFRUIT;5054;22;;;;;5061;22;;;;;5057.5;73.25
1;5300;AMETHYSTS;9995;22;;;;;9998;12;10005;22;;;9996.5;66.0
1;5400;AMETHYSTS;9995;30;;;;;10005;30;;;;;10000.0;90.0
1;5400;STARFRUIT;5054;30;;;;;5061;30;;;;;5057.5;81.75
1;5500;STARFRUIT;5054;29;;;;;5055;8;5060;1;5061;28;5054.5;75.1875
1;5500;AMETHYSTS;9996;1;9995;28;;;10004;1;10005;28;;;10000.0;90.0
1;5600;STARFRUIT;5053;25;;;;;5060;25;;;;;5056.5;68.125
1;5600;AMETHYSTS;9998;2;9996;2;9995;23;10004;2;10005;23;;;10001.0;90.0
1;5700;STARFRUIT;5055;3;5054;31;;;5060;1;5061;30;;;5057.5;78.9296875
1;5700;AMETHYSTS;9996;1;9995;30;;;10004;1;10005;30;;;10000.0;93.0
1;5800;AMETHYSTS;9996;2;9995;28;;;10004;2;10005;28;;;10000.0;99.0
1;5800;STARFRUIT;5054;30;;;;;5061;30;;;;;5057.5;83.1875
1;5900;STARFRUIT;5054;23;;;;;5061;23;;;;;5057.5;81.6328125
1;5900;AMETHYSTS;9996;2;9995;21;;;10004;2;10005;21;;;10000.0;99.0
1;6000;STARFRUIT;5053;30;;;;;5060;30;;;;;5056.5;74.5234375
